,avg_star
1,4.2
2,4.4
3,3.6
4,4.3
5,4.3
6,3.9
7,4.4
8,3.8
9,4.3
10,4.2
11,4.2
12,4.3
13,4.3
14,4.2
15,4.4
16,4.3
17,4.2
18,4.3
19,3.9
20,3.6
21,3
22,3
23,4.2
24,4.4
25,4.2
26,3.2
27,4.4
28,3.9
29,4.5
30,4.4
31,4.4
32,4.4
33,4.7
34,3.2
35,4.3
36,4.2
37,3.3
38,5
39,4.3
40,4.3
41,4.3
42,4.3
43,4.3
44,4.3
45,4.2
46,4.1
47,4.2
48,3.3
49,3.6
50,3.7
51,4.3
52,4.2
53,4.4
54,4.3
55,4.3
56,4.4
57,4.2
58,4.1
59,3.3
60,4.3
61,4.2
62,4.3
63,3
64,3.3
65,4.3
66,3.6
67,4.4
68,4.3
69,4.4
70,4.4
71,4.3
72,4.4
73,4.8
74,4.4
75,4.5
76,4.4
77,4.1
78,4.4
79,4.3
80,4.4
81,4.2
82,4.2
83,4.4
84,4.2
85,3.3
86,3.7
87,4.4
88,4.4
89,4.1
90,4.3
91,4.2
92,4.3
93,4.4
94,4.3
95,3
96,4.3
97,3.9
98,4.3
99,4.4
100,3.6
101,4.1
102,4.2
103,3
104,4.6
105,3
106,4.3
107,4.6
108,4.5
109,3.6
110,4.1
111,4.3
112,4.2
113,4.3
114,4.4
115,4.6
116,4.6
117,4.2
118,3
119,3.3
120,3
121,3.8
122,4.3
123,3.2
124,4.3
125,4.4
126,4.4
127,3.6
128,4.3
129,4.4
130,3.9
131,4.6
132,4.4
133,4.2
134,4.4
135,3.9
136,4.4
137,3
138,4.3
139,4.2
140,4.4
141,4.3
142,4.2
143,3.9
144,4.2
145,4.3
146,4.4
147,4.4
148,4.4
149,4.4
150,4.3
151,3.9
152,3.3
153,4.2
154,4.4
155,4.2
156,4.3
157,4.2
158,4.2
159,3.6
160,4.3
161,4.3
162,3.9
163,4.4
164,3.3
165,4.3
166,4.3
167,4.4
168,3
169,4.6
170,4
171,4.4
172,4.3
173,4.5
174,4.4
175,4.3
176,4.2
177,4.4
178,3.3
179,4.4
180,4.2
181,4.3
182,4.4
183,3.9
184,3
185,4.3
186,4.3
187,4
188,3
189,4.5
190,4.3
191,4.4
192,3
193,4.3
194,4.4
195,4.3
196,4.3
197,3.8
198,4.4
199,4.3
200,3.8
201,3.6
202,4.4
203,4.4
204,4.4
205,3.6
206,4.4
207,4.4
208,4.4
209,3.6
210,3
211,4.3
212,4.3
213,4.3
214,3.9
215,4.2
216,3.6
217,4.2
218,3.2
219,4.4
220,4.4
221,3.3
222,4
223,4.4
224,4.3
225,4.5
226,4.4
227,3.6
228,4.3
229,4.3
230,3.9
231,4.2
232,4.3
233,4.2
234,4.4
235,3.3
236,4.3
237,4.6
238,3.8
239,4.3
240,4.4
241,4.3
242,4.3
243,4.3
244,4.2
245,4.6
246,4.3
247,4.4
248,4.3
249,4.4
250,3.3
251,4.2
252,4.3
253,4.3
254,4.4
255,4.4
256,4.4
257,3.9
258,4.3
259,4.3
260,4.4
261,4.2
262,4.3
263,4.4
264,4.3
265,4.4
266,4.3
267,3.8
268,4.2
269,3.3
270,4.3
271,4.3
272,3.6
273,3
274,3.9
275,4.3
276,4.1
277,4.4
