"prev_help_ratio","period","rating","is_moderate","same_rating_reviews","alternative_avg_ratings","alternative_extremity","stddev_ratings","num_prev_review","avg_prod_rating","extremity"
0,389,4,FALSE,14,3.68852459016393,0.311475409836066,1.44384883334507,1,4.2,0.2
0,602,1,FALSE,69,3.98220640569395,2.98220640569395,1.39122668916185,1,4.4,3.4
0,570,1,FALSE,44,2.61818181818182,1.61818181818182,1.57376319973518,1,3.6,2.6
0,539,1,FALSE,7,3.79661016949153,2.79661016949153,1.37439216680344,1,4.3,3.3
0,642,4,FALSE,14,3.88679245283019,0.113207547169811,1.35391707163512,1,4.3,0.3
0,115,1,FALSE,2,3,2,2.3094010767585,1,3.9,2.9
0,342,5,FALSE,372,3.91713483146067,1.08286516853933,1.41824109833926,1,4.4,0.6
0,207,1,FALSE,5,4,3,1.22474487139159,1,3.8,2.8
0,540,5,FALSE,30,3.81818181818182,1.18181818181818,1.23253347053168,1,4.3,0.7
0,1409,5,FALSE,4,4,1,1.52752523165195,1,4.2,0.8
0,72,4,FALSE,8,3.85714285714286,0.142857142857143,0.949262293098647,1,4.2,0.2
0,987,4,FALSE,24,4.29347826086957,0.293478260869565,1.08473973663064,1,4.3,0.3
0,264,3,TRUE,11,3.59782608695652,0.597826086956522,1.49768893474114,1,4.3,1.3
0,583,5,FALSE,13,4.07692307692308,0.923076923076923,1.12864793175115,1,4.2,0.8
0,333,5,FALSE,1,4,1,1,1,4.4,0.6
0,560,4,FALSE,3,3.81818181818182,0.181818181818182,1.16774841624228,1,4.3,0.3
0,460,5,FALSE,114,3.92477876106195,1.07522123893805,1.38839834011561,1,4.2,0.8
0,955,1,FALSE,13,3.77669902912621,2.77669902912621,1.42066015333491,1,4.3,3.3
0,589,2,FALSE,11,3.66393442622951,1.66393442622951,1.41777765649902,1,3.9,1.9
0,1055,4,FALSE,8,3.68421052631579,0.315789473684211,1.24956132653501,1,3.6,0.4
0,524,3,TRUE,6,3.5,0.5,1.52127765851133,1,3,0
0,524,1,FALSE,8,3.5,2.5,1.52127765851133,1,3,2
0,539,4,FALSE,50,3.96261682242991,0.0373831775700935,1.35954448077606,1,4.2,0.2
0,788,5,FALSE,233,4.01643192488263,0.983568075117371,1.37446030180476,1,4.4,0.6
0,1259,5,FALSE,19,4.4,0.6,0.847140518936221,1,4.2,0.8
0,124,1,FALSE,14,2.17857142857143,1.17857142857143,1.46700933947825,1,3.2,2.2
0,926,5,FALSE,128,4.02448979591837,0.975510204081632,1.32109781289953,1,4.4,0.6
0,795,5,FALSE,37,3.62886597938144,1.37113402061856,1.41656559170459,1,3.9,1.1
0,460,4,FALSE,1,4.5,0.5,0.707106781186548,1,4.5,0.5
0,903,1,FALSE,33,3.97407407407407,2.97407407407407,1.36990830632084,1,4.4,3.4
0,589,4,FALSE,12,4.46938775510204,0.469387755102041,0.915196718751551,1,4.4,0.4
1,214,2,FALSE,7,4,2,1.42427926635594,3,4.4,2.4
0.861386138613861,569,5,FALSE,4,5,0,0,48,4.7,0.3
0,147,1,FALSE,8,2.33333333333333,1.33333333333333,1.4950900031928,1,3.2,2.2
0,553,5,FALSE,14,3.35135135135135,1.64864864864865,1.56730866661818,1,4.3,0.7
0,885,4,FALSE,36,4.27737226277372,0.277372262773723,1.04831746852431,1,4.2,0.2
0,570,2,FALSE,4,3.22222222222222,1.22222222222222,1.39560467837445,1,3.3,1.3
0,674,5,FALSE,1,5,0,0,1,5,0
0,348,5,FALSE,58,3.34415584415584,1.65584415584416,1.59402425798072,1,4.3,0.7
0,374,5,FALSE,55,3.33561643835616,1.66438356164384,1.60291715646397,2,4.3,0.7
0,327,5,FALSE,59,3.92028985507246,1.07971014492754,1.2325369611603,1,4.3,0.7
