"","X.2","X.1","X","rwr_rank","help_vote","vote","top1","top10","top50","top500","top1000","vine"
"1",1,1,1,25424106,0,1,NA,NA,NA,NA,NA,NA
"2",2,2,2,1313516,5,7,NA,NA,NA,NA,NA,NA
"3",3,3,3,2973864,2,2,NA,NA,NA,NA,NA,NA
"4",4,4,4,34835230,41,64,NA,NA,NA,NA,NA,NA
"5",5,5,5,7997785,9,12,NA,NA,NA,NA,NA,NA
"6",6,6,6,1900888,2,2,NA,NA,NA,NA,NA,NA
"7",7,7,7,1212121,7,7,NA,NA,NA,NA,NA,NA
"8",8,8,8,4705060,2,3,NA,NA,NA,NA,NA,NA
"9",9,9,9,3611838,6,6,NA,NA,NA,NA,NA,NA
"10",10,10,10,36759,1348,1420,NA,NA,NA,NA,NA,"VINE VOICE"
"11",11,11,11,1205,4537,5418,NA,NA,NA,NA,NA,"VINE VOICE"
"12",12,12,12,349505,44,58,NA,NA,NA,NA,NA,NA
"13",13,13,13,3141220,7,12,NA,NA,NA,NA,NA,NA
"14",14,14,14,4776021,4,6,NA,NA,NA,NA,NA,NA
"15",15,15,15,5040,1687,1934,NA,NA,NA,NA,NA,NA
"16",16,16,16,2161167,15,17,NA,NA,NA,NA,NA,NA
"17",17,17,17,1153433,11,14,NA,NA,NA,NA,NA,NA
"18",18,18,18,1234921,47,71,NA,NA,NA,NA,NA,NA
"19",19,19,19,60890,384,447,NA,NA,NA,NA,NA,NA
"20",20,20,20,21818,440,554,NA,NA,NA,NA,NA,"VINE VOICE"
"21",21,21,21,8359759,6,6,NA,NA,NA,NA,NA,NA
"22",22,22,22,22399433,3,5,NA,NA,NA,NA,NA,NA
"23",23,23,23,2448886,5,9,NA,NA,NA,NA,NA,NA
"24",24,24,24,264065,77,101,NA,NA,NA,NA,NA,NA
"25",25,25,25,341380,34,40,NA,NA,NA,NA,NA,NA
"26",26,26,26,12231587,1,1,NA,NA,NA,NA,NA,NA
"27",27,27,27,28171631,0,1,NA,NA,NA,NA,NA,NA
"28",28,28,28,25979999,1,1,NA,NA,NA,NA,NA,NA
"29",29,29,29,15793936,2,2,NA,NA,NA,NA,NA,NA
"30",30,30,30,27983894,0,3,NA,NA,NA,NA,NA,NA
"31",31,31,31,3988551,4,4,NA,NA,NA,NA,NA,NA
"32",32,32,32,1105483,9,10,NA,NA,NA,NA,NA,NA
"33",33,33,33,20467287,9,16,NA,NA,NA,NA,NA,NA
"34",34,34,34,972739,18,24,NA,NA,NA,NA,NA,NA
"35",35,35,35,103742,68,83,NA,NA,NA,NA,NA,NA
"36",36,36,36,19343446,1,1,NA,NA,NA,NA,NA,NA
"37",37,37,37,2894,843,943,NA,NA,NA,NA,NA,NA
"38",38,38,38,2062047,11,12,NA,NA,NA,NA,NA,NA
"39",39,39,39,4731865,14,25,NA,NA,NA,NA,NA,NA
"40",40,40,40,5035696,3,4,NA,NA,NA,NA,NA,NA
"41",41,41,41,6022003,1,2,NA,NA,NA,NA,NA,NA
"42",42,42,42,308980,64,97,NA,NA,NA,NA,NA,NA
"43",43,43,43,772859,19,27,NA,NA,NA,NA,NA,NA
"44",44,44,44,1184224,14,20,NA,NA,NA,NA,NA,NA
"45",45,45,45,23129372,2,3,NA,NA,NA,NA,NA,NA
"46",46,46,46,724371,39,61,NA,NA,NA,NA,NA,NA
"47",47,47,47,182153,70,93,NA,NA,NA,NA,NA,NA
"48",48,48,48,4394951,10,12,NA,NA,NA,NA,NA,NA
"49",49,49,49,7224814,4,7,NA,NA,NA,NA,NA,NA
