"help_vote","vote","hf_ratio","rank","is_top","hof","vine"
0,0,0,25424106,FALSE,0,0
3,3,1,1313516,FALSE,0,0
1,1,1,2973864,FALSE,0,0
36,57,0.631578947368421,34835230,FALSE,0,0
8,10,0.8,7997785,FALSE,0,0
1,1,1,1900888,FALSE,0,0
6,6,1,1212121,FALSE,0,0
1,2,0.5,4705060,FALSE,0,0
5,5,1,3611838,FALSE,0,0
1248,1315,0.949049429657795,36759,TRUE,0,1
4536,5417,0.837363854532029,1205,TRUE,0,1
43,57,0.754385964912281,349505,FALSE,0,0
6,10,0.6,3141220,FALSE,0,0
3,4,0.75,4776021,FALSE,0,0
1672,1919,0.871287128712871,5040,FALSE,0,0
7,8,0.875,2161167,FALSE,0,0
10,12,0.833333333333333,1153433,FALSE,0,0
41,63,0.650793650793651,1234921,FALSE,0,0
384,446,0.860986547085202,60890,FALSE,0,0
435,548,0.793795620437956,21818,TRUE,0,1
0,0,0,8359759,FALSE,0,0
0,0,0,22399433,FALSE,0,0
5,8,0.625,2448886,FALSE,0,0
76,100,0.76,264065,FALSE,0,0
24,30,0.8,341380,FALSE,0,0
0,0,0,12231587,FALSE,0,0
0,0,0,28171631,FALSE,0,0
0,0,0,25979999,FALSE,0,0
1,1,1,15793936,FALSE,0,0
0,2,0,27983894,FALSE,0,0
0,0,0,3988551,FALSE,0,0
5,6,0.833333333333333,1105483,FALSE,0,0
8,15,0.533333333333333,20467287,FALSE,0,0
18,23,0.782608695652174,972739,FALSE,0,0
65,80,0.8125,103742,FALSE,0,0
0,0,0,19343446,FALSE,0,0
842,941,0.894792773645058,2894,FALSE,0,0
7,8,0.875,2062047,FALSE,0,0
11,22,0.5,4731865,FALSE,0,0
3,3,1,5035696,FALSE,0,0
0,1,0,6022003,FALSE,0,0
63,96,0.65625,308980,FALSE,0,0
16,24,0.666666666666667,772859,FALSE,0,0
13,19,0.684210526315789,1184224,FALSE,0,0
0,0,0,23129372,FALSE,0,0
36,58,0.620689655172414,724371,FALSE,0,0
67,88,0.761363636363636,182153,FALSE,0,0
9,11,0.818181818181818,4394951,FALSE,0,0
3,4,0.75,7224814,FALSE,0,0
1318,1997,0.659989984977466,631053,TRUE,0,1
9,11,0.818181818181818,2143661,FALSE,0,0
169,214,0.789719626168224,33583,FALSE,0,0
0,0,0,28142929,FALSE,0,0
58,81,0.716049382716049,452238,FALSE,0,0
68,74,0.918918918918919,167204,FALSE,0,0
2,3,0.666666666666667,5146072,FALSE,0,0
2,5,0.4,21412346,FALSE,0,0
0,0,0,34611474,FALSE,0,0
37,41,0.902439024390244,635595,FALSE,0,0
11,25,0.44,2024463,FALSE,0,0
0,1,0,4220261,FALSE,0,0
14,21,0.666666666666667,30580914,FALSE,0,0
37,47,0.787234042553192,2209067,FALSE,0,0
0,0,0,22786995,FALSE,0,0
357,423,0.843971631205674,7839,FALSE,0,0
1,3,0.333333333333333,35096967,FALSE,0,0
133,153,0.869281045751634,313755,FALSE,0,0
0,0,0,23885114,FALSE,0,0
7,10,0.7,3436784,FALSE,0,0
27,29,0.931034482758621,3169125,FALSE,0,0
1,1,1,8174853,FALSE,0,0
0,0,0,16359333,FALSE,0,0
6,24,0.25,35298132,FALSE,0,0
16,17,0.941176470588235,2089824,FALSE,0,0
44,55,0.8,566031,FALSE,0,0
10,12,0.833333333333333,732171,FALSE,0,0
3,6,0.5,5125657,FALSE,0,0
0,0,0,3528632,FALSE,0,0
0,0,0,4171572,FALSE,0,0
0,0,0,12328943,FALSE,0,0
0,1,0,6125468,FALSE,0,0
9,12,0.75,1172506,FALSE,0,0
11,18,0.611111111111111,1704061,FALSE,0,0
0,1,0,13426744,FALSE,0,0
0,0,0,25279559,FALSE,0,0
180,190,0.947368421052632,568866,FALSE,0,0
2270,2621,0.866081648225868,1373,FALSE,0,0
130,142,0.915492957746479,47902,FALSE,0,0
1408,1769,0.795929903900509,8424,TRUE,0,1
2,3,0.666666666666667,4474457,FALSE,0,0
7,9,0.777777777777778,2127481,FALSE,0,0
17,18,0.944444444444444,4163270,FALSE,0,0
3,4,0.75,2858634,FALSE,0,0
1,1,1,4933329,FALSE,0,0
39,47,0.829787234042553,163710,FALSE,0,0
20,26,0.769230769230769,1186262,FALSE,0,0
30,34,0.882352941176471,806148,FALSE,0,0
2,2,1,6796951,FALSE,0,0
3,10,0.3,35168407,FALSE,0,0
104,131,0.793893129770992,107395,FALSE,0,0
0,0,0,20043520,FALSE,0,0
27,34,0.794117647058823,816949,FALSE,0,0
0,0,0,8613589,FALSE,0,0
16,17,0.941176470588235,1318931,FALSE,0,0
7,9,0.777777777777778,1537225,FALSE,0,0
4,4,1,1399078,FALSE,0,0
0,0,0,7014839,FALSE,0,0
151,177,0.853107344632768,280867,FALSE,0,0
28,54,0.518518518518518,1343078,FALSE,0,0
10,17,0.588235294117647,2882457,FALSE,0,0
4,4,1,12343272,FALSE,0,0
191,206,0.927184466019418,20926,FALSE,0,0
0,2,0,22565509,FALSE,0,0
2,4,0.5,8216781,FALSE,0,0
121,165,0.733333333333333,857455,FALSE,0,0
42,53,0.792452830188679,417754,FALSE,0,0
0,0,0,21718301,FALSE,0,0
7,7,1,2346497,FALSE,0,0
0,0,0,11081501,FALSE,0,0
23,29,0.793103448275862,3397478,FALSE,0,0
1,8,0.125,34908355,FALSE,0,0
354,557,0.635547576301616,80355,FALSE,0,0
182,220,0.827272727272727,53188,FALSE,0,0
107,120,0.891666666666667,442596,FALSE,0,0
1390,1702,0.81668625146886,3842,FALSE,0,0
437,468,0.933760683760684,72894,FALSE,0,0
6,10,0.6,2349643,FALSE,0,0
1016,1119,0.907953529937444,4473,FALSE,0,0
0,0,0,11732318,FALSE,0,0
9,10,0.9,959731,FALSE,0,0
1,2,0.5,2814725,FALSE,0,0
60,83,0.72289156626506,152876,FALSE,0,0
39,53,0.735849056603774,550953,FALSE,0,0
9,9,1,15650145,FALSE,0,0
45,53,0.849056603773585,325153,FALSE,0,0
6,11,0.545454545454545,2941506,FALSE,0,0
0,0,0,20255788,FALSE,0,0
5,6,0.833333333333333,2767382,FALSE,0,0
13,14,0.928571428571429,1288185,FALSE,0,0
21,54,0.388888888888889,7498959,FALSE,0,0
2385,2659,0.896953742008274,2339,TRUE,0,1
8,19,0.421052631578947,7934581,FALSE,0,0
39,69,0.565217391304348,1568097,FALSE,0,0
140,178,0.786516853932584,266303,FALSE,0,0
8,8,1,1299694,FALSE,0,0
29,37,0.783783783783784,301556,FALSE,0,0
11,22,0.5,34415681,FALSE,0,0
26,41,0.634146341463415,1408051,FALSE,0,0
23,23,1,2281596,FALSE,0,0
279,324,0.861111111111111,54404,FALSE,0,0
7,10,0.7,3431997,FALSE,0,0
0,0,0,16985866,FALSE,0,0
4,5,0.8,8200167,FALSE,0,0
322,340,0.947058823529412,33556,FALSE,0,0
1,5,0.2,18598838,FALSE,0,0
80,119,0.672268907563025,452010,FALSE,0,0
1423,2020,0.704455445544554,87419,FALSE,0,0
10,15,0.666666666666667,1078821,FALSE,0,0
13,18,0.722222222222222,12961989,FALSE,0,0
25,35,0.714285714285714,1707399,FALSE,0,0
6,12,0.5,2836382,FALSE,0,0
0,1,0,25978645,FALSE,0,0
121,166,0.728915662650602,40747,FALSE,0,0
18,22,0.818181818181818,850128,FALSE,0,0
0,0,0,25142110,FALSE,0,0
37,45,0.822222222222222,458635,FALSE,0,0
2,3,0.666666666666667,2237036,FALSE,0,0
12,16,0.75,2618663,FALSE,0,0
5,5,1,5575995,FALSE,0,0
2753,3513,0.783660688869912,8492,TRUE,0,1
23,28,0.821428571428571,415666,FALSE,0,0
17,31,0.548387096774194,1875410,FALSE,0,0
15,19,0.789473684210526,21177098,FALSE,0,0
11,12,0.916666666666667,2960752,FALSE,0,0
17,17,1,1628414,FALSE,0,0
44,51,0.862745098039216,235032,FALSE,0,0
88,96,0.916666666666667,292075,FALSE,0,0
2,2,1,2533714,FALSE,0,0
316,370,0.854054054054054,51584,FALSE,0,0
2,2,1,2468256,FALSE,0,0
70,86,0.813953488372093,307599,FALSE,0,0
1402,1698,0.82567726737338,4288,TRUE,0,1
4652,5646,0.823946156571024,2221,FALSE,0,0
5662,6344,0.89249684741488,262,TRUE,0,0
0,0,0,16015766,FALSE,0,0
294,330,0.890909090909091,34498,FALSE,0,0
1,1,1,5734436,FALSE,0,0
5,6,0.833333333333333,2337646,FALSE,0,0
77,94,0.819148936170213,182357,FALSE,0,0
4,11,0.363636363636364,35202013,FALSE,0,0
3,4,0.75,2345740,FALSE,0,0
0,0,0,22734017,FALSE,0,0
1158,1629,0.710865561694291,31804,FALSE,0,0
