"[2308, 0.0, 0.0]"
"[1845, 0.0, 0.0]"
"[1845, 0.5, 0.0]"
"[1845, 0.0, 0.0]"
"[1845, 0.25, -0.15000000000000002]"
"[1845, 0.0, 0.0]"
"[926, 0.6000000000000001, 0.7]"
"[926, 0.0, 0.0]"
"[926, 0.0, 0.0]"
"[926, 0.0, 0.0]"
"[3851, 0.0, 0.0]"
"[3851, 0.75, 0.8]"
"[3851, 0.0, 0.0]"
"[3851, 0.0, 0.0]"
"[2763, 0.5499999999999999, 0.23333333333333336]"
"[778, 0.75, 0.8]"
"[778, 0.0, 0.0]"
"[778, 0.0, 0.0]"
"[778, 0.9, -0.6]"
"[3312, 0.5, 0.5]"
"[3312, 1.0, -0.25]"
"[3267, 0.7842261904761905, 0.13690476190476192]"
"[3267, 0.4571428571428572, 0.35357142857142854]"
"[570, 1.0, 1.0]"
"[570, 0.5071428571428571, 0.30357142857142855]"
"[570, 0.75, 0.8]"
"[570, 0.2888888888888889, -0.15555555555555559]"
"[570, 0.25, -0.025]"
"[570, 0.0, 0.0]"
"[570, 0.39999999999999997, 0.2]"
"[570, 0.75, 0.8]"
"[2229, 0.0, 0.0]"
"[2229, 0.0, 0.0]"
"[2229, 0.3833333333333333, 0.12500000000000003]"
"[2229, 0.6, 0.78125]"
"[2229, 0.0, 0.0]"
"[2229, 0.8233333333333335, 0.5200000000000001]"
"[2229, 0.0, 0.0]"
"[2229, 0.7066666666666668, 0.33000000000000007]"
"[2229, 0.8016666666666667, 0.25333333333333335]"
"[2229, 0.4, -0.2]"
"[2229, 0.625, 0.125]"
"[2229, 0.75, 0.8]"
"[2229, 0.78, 0.52]"
"[2229, 0.0, 0.0]"
"[2229, 0.9, 0.6]"
"[2229, 0.0, 0.0]"
"[2229, 0.5, 0.228125]"
"[2229, 0.1, 0.0]"
"[2229, 0.0, 0.0]"
"[2229, 0.6, 0.2]"
"[2229, 0.0, 0.0]"
"[2229, 0.2, 0.2]"
"[2229, 0.7416666666666667, 0.26666666666666666]"
"[2229, 1.0, 0.13]"
"[2229, 0.4666666666666667, 0.475]"
"[2229, 0.2, 0.25]"
"[2229, 0.6000000000000001, 0.875]"
"[2229, 0.35, 0.25]"
"[3538, 0.9, -0.5]"
"[3538, 0.7, -0.4833333333333333]"
"[3185, 0.0, 0.0]"
"[3185, 1.0, 0.5633333333333334]"
"[3185, 1.0, 1.0]"
"[3185, 0.3, 1.0]"
"[3185, 0.0, 0.0]"
"[3185, 0.1, 0.05]"
"[3185, 0.0, 0.0]"
"[3185, 0.7416666666666667, 0.24791666666666665]"
"[3185, 0.0, 0.0]"
"[1884, 0.5583333333333333, 0.14833333333333334]"
"[1884, 0.8, 0.4]"
"[3230, 0.5, 0.5]"
"[3230, 0.25, -0.25]"
"[3230, 0.0, 0.0]"
"[3230, 0.75, 0.0]"
"[3230, 0.0, 0.0]"
"[3230, 0.6666666666666666, 0.05]"
"[3230, 0.35714285714285715, 0.0]"
"[3230, 0.375, 0.15833333333333333]"
"[3230, 0.175, -0.125]"
"[3230, 0.0, 0.0]"
"[3230, 0.4464285714285714, 0.14285714285714285]"
"[3230, 0.0, 0.0]"
"[3230, 0.8888888888888888, 0.5]"
"[3230, 0.8333333333333334, 0.43333333333333335]"
"[3230, 0.5, 0.5]"
"[3230, 0.0, 0.0]"
"[3230, 0.5416666666666666, -0.2916666666666667]"
"[3230, 0.43333333333333335, -0.16666666666666666]"
"[3230, 0.20833333333333334, -0.075]"
"[3230, 0.925, -0.2]"
"[3230, 0.4791666666666667, 0.20416666666666666]"
"[3230, 0.5, 0.0]"
"[3230, 0.5, 0.4166666666666667]"
"[811, 0.6000000000000001, 0.07500000000000001]"
"[811, 0.39285714285714285, 0.25476190476190474]"
"[811, 0.0, 0.0]"
"[3520, 0.6, 0.6]"
"[3520, 0.6, 0.5]"
"[3520, 0.3566666666666667, 2.7755575615628915e-18]"
"[3520, 0.0, 0.0]"
"[3520, 0.6666666666666666, 0.0]"
"[3520, 0.75, 0.8]"
"[2992, 1.0, 1.0]"
"[2992, 0.65, 0.55]"
"[2992, 0.2, 0.2]"
"[2992, 0.6000000000000001, 0.7]"
"[2992, 0.4471153846153846, 0.08365384615384615]"
"[3102, 0.31666666666666665, 0.19999999999999998]"
"[3102, 0.5, 0.0]"
"[3102, 0.6499999999999999, 0.15]"
"[3102, 0.65, 0.19999999999999998]"
"[3102, 0.6666666666666666, 0.20000000000000004]"
"[1813, 0.5666666666666667, 0.31666666666666665]"
"[1813, 0.635, 0.465]"
"[458, 0.6833333333333332, -0.39999999999999997]"
"[458, 0.5886363636363636, 0.05909090909090908]"
"[458, 0.9, 0.4000000000000001]"
"[458, 0.0, -0.2]"
"[1945, 0.8, 0.675]"
"[1945, 0.787, -0.12433333333333332]"
"[1945, 0.625, -0.375]"
"[1945, 0.5, 0.0]"
"[1945, 0.6111111111111112, 0.5111111111111112]"
"[1945, 0.725, 0.6000000000000001]"
"[1945, 0.75, 0.8]"
"[2007, 0.1625, 0.08750000000000001]"
"[2007, 0.6458333333333333, 0.25416666666666665]"
"[492, 0.0, 0.0]"
"[492, 0.2, -0.2]"
"[492, 0.0, 0.0]"
"[492, 0.0, 0.0]"
"[492, 1.0, -0.4]"
"[492, 0.75, 0.8]"
"[492, 0.575, -0.2625]"
"[2563, 0.6333333333333334, 0.25]"
"[2563, 0.6214285714285714, 0.30714285714285716]"
"[2563, 0.15000000000000002, 0.1]"
"[2563, 0.375, 0.4]"
"[3819, 0.1, 0.1]"
"[3819, 1.0, 0.0]"
"[3819, 0.15000000000000002, -0.09999999999999999]"
"[3819, 0.9, 0.1]"
"[3819, 0.0, 0.0]"
"[814, 0.0, 0.0]"
"[814, 0.4, -0.1]"
"[814, 0.8, -0.6]"
"[814, 0.0, 0.0]"
"[814, 0.0, 0.0]"
"[3270, 0.4083333333333334, 0.225]"
"[3270, 0.0, 0.0]"
"[3270, 0.7296296296296295, -0.21851851851851853]"
"[3270, 0.0, 0.0]"
"[3270, 0.0, 0.0]"
"[3270, 0.0, 0.0]"
"[3270, 1.0, -0.4]"
"[3270, 0.3208333333333333, -0.19583333333333336]"
"[3270, 1.0, 0.6]"
"[3270, 0.0, 0.0]"
"[3270, 0.30000000000000004, 0.2]"
"[3270, 0.23333333333333336, 0.03333333333333335]"
"[3270, 1.0, 0.6]"
"[438, 0.0, 0.0]"
"[438, 0.5, 0.5]"
"[438, 0.2916666666666667, -0.041666666666666664]"
"[438, 1.0, 0.65]"
"[438, 0.4, 0.0]"
"[438, 0.425, -0.04375]"
"[438, 0.5483333333333333, -0.11833333333333333]"
"[438, 0.0, 0.0]"
"[438, 0.50625, -0.125]"
"[438, 0.0, 0.0]"
"[438, 0.39999999999999997, -0.30000000000000004]"
"[438, 0.0, 0.0]"
"[438, 0.5, 0.15625]"
"[438, 0.5, 0.2]"
"[438, 0.3125, 0.25]"
"[438, 0.4000000000000001, 0.16666666666666666]"
"[438, 0.0, 0.0]"
"[438, 0.4, 0.4]"
"[438, 0.2791666666666667, -0.08333333333333333]"
"[438, 0.4, 0.15000000000000002]"
"[438, 0.2875, -0.0875]"
"[438, 0.3597222222222222, 0.08611111111111111]"
"[438, 0.4, 0.4]"
"[438, 0.5, 0.5]"
"[438, 0.1, 0.0]"
"[1939, 0.0, 0.0]"
"[3375, 0.6738095238095237, 0.1738095238095238]"
"[1305, 0.0, 0.0]"
"[1305, 0.625, 0.5]"
"[1305, 0.6, 0.43333333333333335]"
"[1305, 0.54, 0.18]"
"[1305, 0.5, 0.0]"
"[785, 0.9, 0.29333333333333333]"
"[2708, 0.6, -0.4]"
"[2708, 0.0, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 0.65, -0.24375000000000002]"
"[2708, 0.0, 0.0]"
"[2708, 0.65, -0.75]"
"[2708, 0.25, 0.0]"
"[2708, 0.2111111111111111, -0.044444444444444446]"
"[2708, 1.0, -0.5]"
"[2708, 0.46, 0.0175]"
"[2708, 0.625, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 1.0, 0.5]"
